PK,AGE,GENDER,RACE,INCIDENTNEIGHBORHOOD,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION
1978314,24,M,B,Middle Hill,6,3
1978315,26,M,B,Westwood,2,5
1978316,45,F,B,Larimer,9,2
1978317,21,F,B,Mount Washington,9,2
1978318,63,M,W,Bloomfield,7,2
1978319,54,F,W,Troy Hill,1,1
1978320,35,M,B,Homewood South,9,2
1978335,15,M,B,Carrick,4,3
1978336,17,M,B,East Liberty,9,2
1978337,18,M,B,East Liberty,9,2
1978338,16,M,B,Mount Washington,3,5
1978339,76,M,B,Central Business District,6,6
1978340,49,M,B,Crafton Heights,2,5
1978341,17,M,B,Crafton Heights,2,5
1978342,17,M,W,Carrick,4,3
1978343,16,M,B,East Allegheny,1,1
1978344,13,M,B,Homewood South,9,2
1978345,13,M,B,Homewood South,9,2
1978346,37,M,B,Northview Heights,1,1
1978347,12,F,B,Mount Oliver,3,3
1978348,24,F,B,Upper Hill,6,3
1978349,25,M,W,Esplen,2,5
1978350,21,F,W,Esplen,2,5
1978351,22,F,W,Esplen,2,5
1978352,41,M,W,Brighton Heights,1,1
1978353,46,M,B,Homewood South,9,2
1978354,19,M,B,Lower Lawrenceville,7,2
1978355,36,M,W,Fineview,6,1
1978356,38,M,W,South Side Flats,3,3
1978357,34,M,B,Garfield,9,2
1978358,20,M,B,Marshall-Shadeland,1,1
1978359,36,M,W,Banksville,2,5
1978360,30,M,B,Allentown,,
1978361,30,F,B,Homewood South,9,2
1978362,21,F,B,California-Kirkbride,6,1
1978363,21,M,B,Highland Park,7,2
1978364,73,M,B,Homewood West,9,2
1978365,23,F,W,Squirrel Hill North,5,3
1978366,28,M,B,Central Business District,6,6
1978367,23,M,W,North Shore,1,6
1978368,21,M,B,Hazelwood,5,3
1978369,23,M,B,Marshall-Shadeland,1,1
1978370,37,M,W,Highland Park,9,2
1978371,23,M,B,West Oakland,6,3
1978372,53,M,B,Central Business District,6,6
1978373,29,M,W,Beechview,4,5
1978374,24,F,W,Ridgemont,2,5
1978375,20,M,I,Squirrel Hill North,5,3
1978376,24,M,B,Chateau,6,1
1978377,68,M,B,Beltzhoover,3,5
1978378,18,M,B,South Side Flats,3,3
1978379,35,F,B,Central Business District,6,6
1978380,25,M,W,Troy Hill,1,1
1978381,30,M,W,East Allegheny,1,1
1978382,25,M,W,Beechview,4,5
1978383,37,M,B,Brookline,4,5
1978384,19,M,W,East Carnegie,2,5
1978385,24,F,W,Carrick,4,3
1978386,24,M,B,Central Business District,6,6
1978387,55,M,B,Central Business District,,
1978388,30,M,W,Brookline,4,5
1978389,46,F,B,Shadyside,7,2
1978390,28,M,W,Bluff,3,3
1978391,49,M,W,Westwood,2,5
1978392,35,M,W,Lincoln-Lemington-Belmar,,
1978393,31,M,B,Outside City,,
1978394,45,F,B,Bluff,6,3
1978395,36,M,W,Carrick,4,3
1978396,25,M,B,Beechview,4,5
1978397,19,M,B,Perry South,6,1
1978398,46,M,W,Brookline,4,5
1978399,41,M,B,East Hills,9,2
1978400,32,M,B,Central North Side,1,1
1978401,28,F,W,Carrick,4,3
1978402,27,M,W,Carrick,4,3
1978415,35,M,W,Troy Hill,1,1
1978416,40,F,W,Central Business District,6,6
1978417,36,M,B,California-Kirkbride,6,1
1978418,39,F,B,California-Kirkbride,6,1
1978419,40,M,W,Bluff,3,3
1978420,34,M,B,Homewood North,9,2
1978421,32,M,B,Homewood North,9,2
1978422,31,M,B,Bedford Dwellings,6,3
1978423,40,M,W,East Allegheny,1,1
1978424,50,F,W,Knoxville,,
1978425,39,M,B,South Side Slopes,,
1978426,22,M,B,Lincoln-Lemington-Belmar,9,2
1978427,24,F,W,Carrick,4,3
1978428,15,M,B,Homewood South,9,2
1978429,15,M,B,Homewood South,9,2
1978430,27,M,W,South Oakland,3,3
1978431,38,F,W,Greenfield,5,3
1978432,21,M,B,Crawford-Roberts,6,3
1978433,36,M,W,Lincoln-Lemington-Belmar,9,2
1978434,36,M,B,Central Business District,6,6
1978435,46,M,B,Allentown,3,5
1978436,30,M,W,Central Business District,6,6
1978437,21,M,B,Spring Hill-City View,1,1
1978438,27,M,W,Bloomfield,7,2
1978439,25,M,W,Beechview,4,5
1978440,27,F,W,Central Business District,6,6
1978441,45,F,B,Central Business District,6,6
1978442,34,M,W,Brookline,4,5
1978443,31,F,B,Shadyside,8,2
1978444,24,M,B,South Side Slopes,3,3
1978445,20,F,W,Central Business District,6,6
1978446,21,M,W,Central Business District,6,6
1978447,38,M,B,,,
1978448,30,M,B,South Side Flats,3,3
1978449,31,M,B,Marshall-Shadeland,1,1
1978450,44,M,B,Bedford Dwellings,6,3
1978451,25,M,B,Crafton Heights,2,5
1978452,68,M,B,Middle Hill,6,3
1978453,68,M,B,Middle Hill,6,3
1978454,52,M,B,East Allegheny,1,1
1978455,24,M,B,Homewood South,9,2
1978456,23,F,B,Allentown,3,5
1978457,19,M,B,Allentown,3,5
1978475,17,M,B,Central Business District,6,6
1978476,17,M,W,Mount Washington,3,5
1978477,13,M,O,Greenfield,5,3
1978478,10,M,B,Sheraden,2,5
1978479,16,F,B,Squirrel Hill South,5,3
1978480,10,M,B,Mount Oliver,3,3
1978481,16,M,H,Squirrel Hill South,5,3
1978482,13,F,B,,,
1978483,17,F,B,North Oakland,8,3
1978484,17,M,B,Homewood North,9,2
1978485,30,F,B,Brookline,4,5
1978486,11,F,B,Squirrel Hill South,5,3
1978487,16,F,B,Central Business District,6,6
1978488,36,F,B,Allentown,3,5
1978489,34,M,W,Perry South,6,1
1978490,31,M,B,Homewood West,9,2
1978491,20,M,B,West Oakland,2,5
1978492,43,M,B,Central Business District,6,3
1978493,45,M,W,Upper Lawrenceville,7,2
1978494,24,M,B,Northview Heights,1,1
1978495,50,M,B,Carrick,4,3
1978497,40,M,B,Garfield,7,2
1978498,38,M,B,Squirrel Hill South,5,3
1978499,53,M,B,East Hills,9,2
1978501,59,M,W,Oakwood,2,5
1978502,23,M,B,Bluff,6,3
1978503,48,M,W,North Shore,1,6
1978504,64,M,W,Summer Hill,1,1
1978505,29,M,W,,,
1978506,53,M,O,Squirrel Hill South,5,3
1978507,55,M,B,Central North Side,6,1
1978508,19,M,W,Lincoln-Lemington-Belmar,9,2
1978509,18,M,B,Homewood North,9,2
1978510,28,M,B,Brighton Heights,1,1
1978511,19,M,B,Fineview,6,1
1978512,21,M,B,Lincoln-Lemington-Belmar,9,2
1978513,40,M,W,South Shore,2,5
1978514,25,M,B,Homewood South,9,2
1978515,55,M,B,,,
1978535,37,F,W,North Oakland,8,3
1978536,22,M,B,West End,2,5
1978537,29,M,B,South Side Slopes,3,3
1978538,26,M,W,South Side Flats,3,3
1978539,30,M,B,North Shore,1,6
1978540,28,M,W,South Side Flats,3,3
1978541,36,F,B,Bluff,6,3
1978542,42,M,B,Bedford Dwellings,6,3
1978543,34,M,W,Central Business District,3,3
1978544,22,M,W,South Side Slopes,3,3
1978545,22,M,B,East Liberty,9,2
1978555,15,M,B,Homewood South,9,2
1978556,25,M,B,East Liberty,8,2
1978557,24,M,B,Central Lawrenceville,7,2
1978558,19,M,B,Central Business District,6,6
1978559,30,M,B,Northview Heights,1,1
1978560,27,M,B,East Liberty,9,2
1978561,31,F,W,East Liberty,9,2
1978562,55,F,W,East Liberty,9,2
1978563,22,F,W,North Shore,1,6
1978564,24,M,W,Carrick,4,3
1978565,29,M,B,Fineview,6,1
1978566,17,M,W,Carrick,4,3
1978567,57,F,W,Squirrel Hill South,5,3
1978568,47,M,B,Beltzhoover,3,5
1978569,47,M,B,Mount Washington,3,5
1978570,30,M,W,East Allegheny,1,1
1978571,37,M,B,East Allegheny,1,1
1978572,36,F,W,Garfield,7,2
1978573,38,F,W,South Side Slopes,3,3
1978574,40,M,W,South Side Slopes,3,3
1978575,32,M,W,Fineview,6,1
1978576,24,M,B,Bedford Dwellings,6,3
1978577,23,M,B,Central Business District,6,6
1978578,23,M,B,Squirrel Hill North,8,3
1978579,36,M,W,North Shore,1,6
1978580,52,M,B,Allentown,3,5
1978581,37,M,B,Marshall-Shadeland,1,1
1978582,51,M,W,Brookline,4,5
1978583,70,M,B,Homewood West,9,2
1978584,30,F,W,North Shore,1,6
1978585,28,M,B,Garfield,9,2
1978586,27,F,B,Outside City,9,2
1978587,18,M,B,Highland Park,9,2
1978588,18,M,B,Highland Park,9,2
1978589,25,M,B,Mount Washington,3,5
1978590,20,M,W,Mount Washington,3,5
1978591,44,M,W,Bluff,6,6
1978592,52,M,W,Duquesne Heights,2,5
1978593,24,M,W,North Shore,1,1
1978594,50,M,B,Polish Hill,7,6
1978595,24,M,W,Westwood,,
1978596,17,M,W,Squirrel Hill South,5,3
1978597,11,M,W,Marshall-Shadeland,6,1
1978598,17,M,B,East Liberty,8,2
1978599,16,F,B,Squirrel Hill South,5,3
1978600,15,F,B,Crawford-Roberts,6,3
1978601,18,F,B,Crawford-Roberts,6,3
1978602,37,F,B,Crawford-Roberts,6,3
1978603,39,F,B,Crawford-Roberts,6,3
1978604,13,F,B,Allegheny Center,1,1
1978605,14,F,B,Allegheny Center,1,1
1978606,13,F,B,Allegheny Center,1,1
1978607,13,F,B,Allegheny Center,1,1
1978608,14,M,B,Allegheny Center,1,1
1978609,16,F,U,Homewood North,9,2
1978610,16,F,B,,,
1978611,14,F,B,Sheraden,2,5
1978612,17,F,B,Sheraden,2,5
1978613,19,M,B,Knoxville,3,5
1978614,35,M,W,Beechview,4,5
1978615,52,M,W,Sheraden,2,5
1978616,25,M,W,Overbrook,4,5
1978617,57,F,W,East Allegheny,1,1
1978618,23,F,W,East Allegheny,1,1
1978619,66,M,W,Carrick,4,3
1978620,41,M,W,Carrick,4,3
1978621,24,F,W,Carrick,4,3
1978622,61,M,W,Carrick,4,3
1978623,29,M,W,Brighton Heights,1,1
1978635,35,M,W,South Side Flats,3,3
1978636,56,M,W,Carrick,4,3
1978637,29,F,W,Central North Side,1,1
1978638,45,M,W,Knoxville,3,5
1978639,41,M,B,East Liberty,7,2
1978640,37,M,B,Homewood North,9,2
1978641,29,F,W,Upper Hill,6,3
1978642,28,M,B,California-Kirkbride,6,1
1978643,44,M,B,,,
1978644,57,M,W,,,
1978645,63,M,B,Bluff,6,3
1978646,30,M,W,Central Business District,6,6
1978647,29,M,B,West Oakland,6,3
1978648,53,F,B,Bluff,6,3
1978649,30,M,W,Hazelwood,5,3
1978650,43,M,W,North Shore,1,6
1978651,33,M,W,North Shore,1,6
1978652,27,M,W,Shadyside,8,2
1978653,27,M,W,East Allegheny,1,1
1978654,43,M,W,Upper Lawrenceville,7,2
1978655,20,F,B,Crawford-Roberts,6,3
1978656,26,F,W,Mount Washington,2,5
1978657,37,M,W,Central Business District,6,6
1978658,31,M,B,Larimer,9,2
1978659,76,M,B,Central Business District,6,6
1978660,43,F,W,Greenfield,5,3
1978661,61,M,B,Crawford-Roberts,6,3
1978662,23,F,B,Central North Side,6,1
1978663,34,M,B,Central North Side,6,1
1978664,25,M,W,Strip District,7,6
1978665,29,M,B,Carrick,4,3
1978666,57,M,B,Garfield,9,2
1978667,56,M,B,Homewood South,9,2
1978668,54,M,B,Central Oakland,3,3
1978669,23,F,W,Overbrook,4,5
1978670,29,M,B,Knoxville,,
1978671,33,F,W,Lincoln-Lemington-Belmar,9,2
1978672,35,F,B,Brighton Heights,1,1
1978673,30,M,B,,,
1978674,21,M,B,Lincoln-Lemington-Belmar,9,2
1978675,37,F,W,Fineview,1,1
1978676,20,M,B,Spring Hill-City View,1,1
1978677,48,M,B,Central Business District,6,6
1978678,36,F,B,Glen Hazel,5,3
1978679,42,F,W,East Allegheny,1,1
1978680,42,M,W,Carrick,4,3
1978681,40,M,W,Troy Hill,1,1
1978682,22,M,W,Brighton Heights,1,1
1978683,31,M,B,Marshall-Shadeland,1,1
1978684,27,M,B,South Side Flats,3,3
1978685,23,M,W,South Side Flats,3,3
1978686,25,M,B,Terrace Village,6,3
1978687,41,F,W,East Liberty,9,2
1978695,49,M,B,Homewood South,9,2
1978696,29,F,W,Elliott,2,5
1978697,27,M,W,Elliott,2,5
1978698,24,F,W,Lincoln-Lemington-Belmar,9,2
1978699,29,M,B,West Oakland,2,5
1978700,28,M,B,Esplen,2,5
1978701,29,M,W,Knoxville,,
1978702,21,M,B,Mount Washington,4,5
1978703,18,M,B,Terrace Village,6,3
1978704,50,M,W,Perry South,6,1
1978705,64,M,B,Knoxville,3,5
1978706,21,M,W,Homewood South,9,2
1978707,22,F,W,Brookline,4,5
1978708,30,M,B,Arlington,3,3
1978709,30,F,W,North Shore,1,6
1978710,37,M,A,North Shore,1,6
1978711,24,M,W,North Shore,1,6
1978712,23,M,W,North Shore,1,6
1978713,31,M,B,Crawford-Roberts,6,3
1978714,23,M,B,Central Business District,6,6
1978715,35,M,B,East Allegheny,1,1
1978716,31,M,B,West End,,
1978717,46,M,W,Duquesne Heights,2,5
1978718,36,M,W,Brookline,4,5
1978719,24,M,W,North Shore,1,1
1978720,32,M,W,Summer Hill,,
1978735,60,M,B,East Allegheny,1,1
1978736,22,M,O,East Allegheny,1,1
1978737,44,F,B,Larimer,9,2
1978738,40,M,W,Central Oakland,3,3
1978739,22,M,B,Bedford Dwellings,6,3
1978740,54,M,B,East Allegheny,1,1
1978741,54,M,W,South Side Flats,3,3
1978742,34,M,W,Bedford Dwellings,6,3
1978743,25,F,A,Bloomfield,7,2
1978744,23,F,W,Homewood North,9,2
1978745,20,F,W,Homewood North,9,2
1978746,32,M,W,Homewood North,9,2
1978747,27,M,B,Bluff,6,3
1978748,33,M,W,Brookline,4,5
1978749,28,M,W,Homewood West,9,2
1978750,27,F,W,Homewood West,9,2
1978751,32,F,B,Larimer,9,2
1978752,25,F,B,North Shore,1,6
1978753,38,M,B,Elliott,2,5
1978754,23,M,W,South Side Flats,3,3
1978755,26,M,W,Bluff,8,2
1978756,20,M,W,Greenfield,5,3
1978757,24,M,W,Chateau,6,1
1978758,25,M,B,Carrick,4,3
1978759,25,M,W,Central Lawrenceville,7,2
1978760,55,M,B,Central Business District,6,6
1978761,67,M,B,East Allegheny,1,1
1978762,43,F,O,East Allegheny,1,1
1978763,25,F,B,East Liberty,8,2
1978764,56,M,B,Central Oakland,3,3
1978775,52,M,B,Beltzhoover,3,5
1978776,45,M,B,Beltzhoover,3,5
1978777,22,M,B,Point Breeze North,9,2
1978778,19,F,B,Homewood North,9,2
1978779,34,M,W,Central North Side,1,1
1978780,21,M,B,Spring Hill-City View,1,1
1978781,31,M,B,Outside City,,
1978782,54,M,W,Bluff,,
1978783,34,M,H,Bluff,,
1978784,35,M,W,Sheraden,2,5
1978785,23,M,B,Homewood South,9,2
1978786,24,M,B,Homewood South,9,2
1978787,21,M,B,Homewood North,9,2
1978788,28,M,B,Perry North,1,1
1978789,22,M,W,South Side Flats,3,3
1978790,31,F,O,Central Business District,6,6
1978791,29,M,B,Allegheny Center,1,1
1978792,27,M,W,Banksville,2,5
1978793,31,M,W,Garfield,9,2
1978794,31,F,B,East Hills,9,2
1978795,30,M,B,East Hills,9,2
1978796,51,F,B,Allentown,3,5
1978797,18,M,B,Knoxville,3,5
1978798,36,M,W,Carrick,4,3
1978799,54,M,B,East Allegheny,1,1
1978800,21,M,B,West Oakland,6,3
1978801,20,M,B,East Hills,9,2
1978802,25,M,B,Northview Heights,1,1
1978803,27,M,B,Northview Heights,1,1
1978804,18,M,B,Northview Heights,1,1
1978805,18,M,B,Northview Heights,1,1
1978806,18,M,B,Northview Heights,1,1
1978807,28,M,B,Northview Heights,1,1
1978808,,M,W,East Allegheny,1,1
1978809,39,F,W,Beechview,2,5
1978810,35,F,W,Hazelwood,5,3
1978811,19,M,B,Knoxville,3,5
1978815,28,M,B,Garfield,9,2
1978816,33,M,B,Hazelwood,5,3
1978817,22,M,W,South Side Flats,3,3
1978835,27,F,B,Carrick,4,3
1978836,23,F,B,South Side Flats,3,3
1978837,16,M,B,Homewood South,9,2
1978838,16,M,B,Homewood South,9,2
1978839,22,M,O,South Side Flats,3,3
1978840,21,M,H,South Side Flats,3,3
1978841,21,M,W,South Side Flats,3,3
1978842,23,M,B,Strip District,7,6
1978843,24,M,O,Beechview,4,5
1978844,53,M,B,Allegheny West,1,1
1978845,24,F,W,Carrick,4,3
1978855,23,M,W,Sheraden,2,5
1978875,26,M,B,Beechview,4,5
1978876,24,M,W,Esplen,2,5
1978877,28,M,W,Stanton Heights,9,2
1978878,55,M,B,South Side Flats,3,3
1978879,25,M,W,Upper Lawrenceville,7,2
1978880,17,M,B,Larimer,9,2
1978881,68,M,B,Middle Hill,6,3
1978882,19,M,B,Point Breeze,9,3
1978884,27,M,W,Squirrel Hill South,5,3
1978885,27,M,B,Westwood,2,5
1978886,29,M,B,,,
1978887,25,M,W,Strip District,7,6
1978888,38,F,B,Bedford Dwellings,6,3
1978889,21,M,B,Garfield,9,2
1978890,33,M,W,Central North Side,6,1
1978891,25,M,B,Larimer,9,2
1978892,57,M,W,Carrick,4,3
1978893,33,F,W,Lincoln-Lemington-Belmar,9,2
1978894,31,M,W,Lincoln-Lemington-Belmar,9,2
1978895,28,M,B,Highland Park,9,2
1978896,30,F,B,Bluff,6,3
1978897,30,M,B,Sheraden,2,5
1978898,54,F,W,Mount Washington,3,5
1978899,23,M,B,Chateau,6,1
1978900,50,M,W,Westwood,2,5
1978901,13,M,B,East Liberty,9,2
1978902,60,M,W,Perry South,6,1
1978903,13,M,B,East Liberty,8,2
1978904,16,M,B,Homewood West,9,2
1978905,12,M,B,Homewood West,9,2
1978906,15,M,B,Homewood West,9,2
1978907,37,M,B,Knoxville,3,5
1978908,25,M,B,Elliott,2,5
1978909,20,F,B,Sheraden,2,5
1978910,27,M,W,East Liberty,8,2
1978915,26,M,W,Crawford-Roberts,6,3
1978916,36,M,B,Outside City,,
1978917,25,M,B,Carrick,4,3
1978918,38,M,W,Central North Side,1,1
1978919,38,M,B,Homewood South,9,2
1978920,25,M,B,Chateau,6,1
1978921,29,M,B,Mount Washington,4,5
1978922,24,F,W,Manchester,,
1978923,32,M,B,Morningside,7,2
1978924,20,F,B,Morningside,7,2
1978925,59,M,B,California-Kirkbride,6,1
1978926,47,M,B,Middle Hill,6,3
1978927,32,M,B,Middle Hill,6,3
1978928,21,M,B,,,
1978929,30,F,W,Crafton Heights,2,5
1978930,16,M,B,Spring Hill-City View,1,1
1978931,33,M,W,Fineview,6,1
1978932,49,M,W,Brighton Heights,1,1
1978933,37,F,W,Outside City,9,2
1978934,43,M,B,Central Business District,6,6
1978935,27,F,B,Fineview,6,1
1978936,59,F,W,East Allegheny,1,1
1978937,48,M,W,Carrick,4,3
1978938,35,M,W,Morningside,7,2
1978939,30,M,W,Mount Washington,4,5
1978940,19,M,B,East Hills,9,2
1978941,42,M,B,East Allegheny,1,1
1978942,39,M,W,Crawford-Roberts,6,3
1978943,38,M,W,South Side Slopes,3,3
1978944,35,M,B,Crafton Heights,2,5
1978945,31,M,B,Homewood South,9,2
1978946,34,M,W,Bedford Dwellings,6,3
1978947,40,F,B,Crawford-Roberts,6,3
1978948,60,M,B,West Oakland,6,3
1978949,32,F,B,Arlington,3,3
1978950,29,M,W,Spring Hill-City View,1,1
1978951,43,M,B,Crawford-Roberts,6,3
1978952,40,F,B,Crawford-Roberts,6,3
1978953,14,F,B,Marshall-Shadeland,6,1
1978954,17,M,W,Carrick,4,3
1978955,16,M,B,East Liberty,9,2
1978956,17,M,B,Middle Hill,6,3
1978957,13,M,B,Larimer,9,2
1978958,17,M,B,Homewood North,9,2
1978959,15,M,B,Hazelwood,5,3
1978960,13,F,B,Perry South,6,1
1978961,18,M,B,Garfield,9,2
1978962,20,M,B,Garfield,9,2
1978963,18,M,B,Garfield,9,2
1978964,17,M,B,Garfield,9,2
1978975,53,M,B,Central Business District,6,6
1978976,50,M,B,Sheraden,2,5
1978977,27,M,B,South Side Slopes,3,5
1978978,31,M,B,California-Kirkbride,6,1
1978979,56,F,W,Mount Washington,2,5
1978980,18,M,B,Central Oakland,3,3
1978981,27,M,W,Mount Washington,,
1978982,17,M,B,Central Oakland,3,3
1978983,36,M,W,Allegheny West,1,1
1978984,26,M,B,Homewood South,9,2
1978985,60,M,B,North Shore,1,6
1978986,29,F,B,South Side Flats,3,3
1978987,35,M,W,North Shore,1,6
1978988,33,F,W,South Side Flats,3,3
1978989,39,M,W,South Side Flats,3,3
1978990,31,M,W,Central Business District,6,6
1978991,31,M,W,Central Oakland,3,3
1978992,35,M,W,Bluff,6,6
1978993,27,M,W,North Shore,1,6
1978994,34,M,B,Carrick,4,3
1978995,29,M,B,Northview Heights,1,1
1978996,44,M,W,North Shore,1,6
1978997,27,M,B,Central Business District,6,6
1978998,24,F,B,South Shore,2,5
1978999,24,F,B,South Shore,2,5
1979000,59,F,B,Bluff,6,6
1979001,20,F,W,Squirrel Hill North,8,3
1979002,22,F,B,South Side Flats,3,3
1979003,28,F,W,Highland Park,9,2
1979004,21,M,W,East Allegheny,1,1
1979015,14,M,B,Garfield,9,2
1979016,15,F,B,Point Breeze,8,3
1979017,15,F,B,Point Breeze,8,3
1979018,15,M,B,Perry North,1,1
1979019,16,M,B,Marshall-Shadeland,6,1
1979020,15,M,B,East Liberty,9,2
1979021,10,M,B,Mount Oliver,3,5
1979022,15,M,B,Squirrel Hill South,5,3
1979023,16,M,B,Perry South,6,1
1979024,14,M,B,Beechview,4,5
1979025,12,M,B,Sheraden,2,5
1979026,11,M,B,Perry South,6,1
1979027,36,F,W,South Side Flats,3,3
1979028,45,M,W,Brookline,4,5
1979029,28,M,W,Knoxville,3,5
1979030,31,M,B,South Side Slopes,3,3
1979035,25,M,B,Squirrel Hill South,5,3
1979036,20,M,B,,,
1979037,55,M,B,Middle Hill,6,3
1979038,52,M,B,Beltzhoover,3,5
1979039,37,M,W,Bluff,6,6
1979040,40,F,B,Central Oakland,3,3
1979041,39,M,W,Troy Hill,1,1
1979042,21,M,B,Garfield,9,2
1979043,28,F,W,Carrick,4,3
1979044,28,F,B,Beltzhoover,3,5
1979045,24,M,B,Bedford Dwellings,6,3
1979046,38,M,B,,,
1979047,29,F,W,Marshall-Shadeland,1,1
1979048,35,M,W,Bluff,6,3
1979049,28,M,B,East Allegheny,1,1
1979050,24,M,B,Larimer,9,2
1979051,33,F,B,Spring Garden,1,1
1979052,23,M,B,Lincoln-Lemington-Belmar,9,2
1979053,34,M,B,East Allegheny,1,1
1979054,72,M,B,Point Breeze North,9,3
1979056,25,M,B,Middle Hill,6,3
1979057,50,M,B,Point Breeze,8,3
1979058,23,M,B,Squirrel Hill South,5,3
1979059,,M,W,South Side Flats,3,3
1979061,26,F,B,Shadyside,8,2
1979062,,F,B,Shadyside,8,2
1979063,16,M,B,Spring Hill-City View,1,1
1979064,31,M,W,Outside State,9,2
1979065,42,F,B,Sheraden,2,5
1979066,31,M,B,East Liberty,9,2
1979067,29,F,B,East Hills,9,2
1979068,43,M,W,South Side Flats,3,3
1979069,46,F,W,Friendship,7,2
1979070,46,F,W,Friendship,7,2
1979071,38,M,W,Central Business District,6,6
1979073,,M,B,Homewood South,9,2
1979074,18,M,B,South Side Slopes,3,3
1979075,21,M,B,Bedford Dwellings,6,3
1979076,63,M,B,Marshall-Shadeland,1,1
1979077,34,M,B,,,
1979078,39,M,W,Brighton Heights,1,1
1979079,17,M,B,East Liberty,9,2
1979080,30,M,W,Bloomfield,8,2
1979081,27,M,W,North Oakland,8,3
1979082,36,F,W,Garfield,9,2
1979083,44,M,B,Central Business District,6,6
1979084,57,M,W,South Side Flats,3,3
1979085,24,M,B,East Liberty,9,2
1979086,47,M,B,East Liberty,9,2
1979087,41,M,B,Fineview,6,1
1979088,25,F,B,Central Business District,6,6
1979095,30,F,B,Point Breeze North,9,3
1979096,26,M,B,Brookline,4,5
1979097,30,F,B,Brookline,4,5
1979098,24,F,W,Fineview,1,1
1979099,52,M,B,Beltzhoover,3,5
1979100,39,M,W,Duquesne Heights,2,5
1979101,39,M,W,Duquesne Heights,2,5
1979102,29,F,B,Beltzhoover,3,5
1979103,18,M,B,,,
1979104,32,F,B,Stanton Heights,9,2
1979105,27,M,B,Spring Hill-City View,1,1
1979106,29,M,B,,,
1979107,35,M,B,Knoxville,3,5
1979108,25,M,B,Arlington,3,3
1979109,30,M,B,Outside City,,
1979110,20,M,B,Upper Hill,6,3
1979111,26,M,B,Knoxville,3,5
1979112,34,M,W,Northview Heights,6,1
1979113,26,F,B,Duquesne Heights,2,5
1979114,28,M,W,Central North Side,1,1
1979115,32,M,W,Central Business District,6,6
1979116,52,M,B,Beltzhoover,3,5
1979117,23,M,B,Sheraden,2,5
1979118,20,F,B,Sheraden,2,5
1979119,38,M,W,Carrick,4,3
1979120,31,M,W,Banksville,2,5
1979121,22,M,B,Spring Hill-City View,1,1
1979122,30,M,W,Central Lawrenceville,7,2
1979123,45,M,B,Point Breeze North,8,3
1979124,33,M,B,Perry South,6,1
1979125,19,M,B,Central North Side,6,1
1979126,22,M,W,Central Business District,6,6
1979127,29,M,B,Brookline,4,5
1979128,34,M,B,Carrick,4,3
1979129,43,F,W,Greenfield,5,3
1979130,56,M,B,Homewood South,9,2
1979131,24,M,W,Greenfield,5,3
1979132,54,M,B,Central Oakland,3,3
1979135,54,M,B,South Side Flats,3,3
1979136,20,M,H,Beechview,4,5
1979137,24,M,H,Beechview,4,5
1979138,27,F,B,Highland Park,7,2
1979139,25,F,B,,,
1979140,29,M,W,Overbrook,4,5
1979141,22,F,W,Bloomfield,7,2
1979142,37,M,B,Hazelwood,5,3
1979143,42,M,B,East Allegheny,1,1
1979155,31,M,B,Windgap,2,5
1979156,61,M,W,Brighton Heights,1,1
1979157,22,M,B,South Side Flats,3,3
1979158,26,F,W,South Side Flats,3,3
1979159,18,F,B,Strip District,7,6
1979160,37,M,B,Sheraden,2,5
1979161,25,F,B,Squirrel Hill South,5,3
1979162,29,M,U,Central Business District,6,6
1979163,19,M,B,Middle Hill,6,3
1979164,20,F,B,Crafton Heights,2,5
1979175,42,M,W,Shadyside,8,2
1979176,28,M,W,South Side Flats,3,3
1979177,32,M,W,Larimer,9,2
1979178,19,M,W,Banksville,2,5
1979179,35,F,O,South Oakland,3,3
1979180,29,M,B,Brookline,4,5
1979181,28,M,B,Brookline,4,5
1979182,29,M,W,,,
1979183,44,F,W,Squirrel Hill South,5,3
1979184,34,F,W,Bluff,,
1979185,51,F,B,East Hills,9,2
1979186,36,F,W,Lower Lawrenceville,7,2
1979187,21,F,W,South Side Flats,3,3
1979188,24,M,W,Central Business District,6,6
1979189,34,M,B,Sheraden,2,5
1979190,28,M,O,Central Business District,6,6
1979191,36,M,W,Lincoln-Lemington-Belmar,9,2
1979195,20,M,B,,,
1979196,18,M,B,Crawford-Roberts,6,3
1979197,19,M,B,Crawford-Roberts,6,3
1979198,19,M,B,Crawford-Roberts,6,3
1979199,24,M,B,Lincoln-Lemington-Belmar,9,2
1979200,21,M,B,Lincoln-Lemington-Belmar,9,2
1979201,45,M,B,South Side Flats,3,3
1979202,39,F,B,Middle Hill,6,3
1979203,27,M,B,Middle Hill,6,3
1979204,61,M,W,Mount Washington,3,5
1979205,46,M,W,Carrick,,
1979206,63,M,B,Allegheny West,2,5
1979207,25,M,W,Upper Lawrenceville,7,2
1979208,37,M,B,Northview Heights,1,1
1979209,41,M,W,Central Business District,6,6
1979210,23,F,W,East Liberty,9,2
1979211,48,M,B,Homewood South,9,2
1979212,28,F,O,Central Business District,6,6
1979213,21,M,B,Point Breeze North,9,2
1979214,24,M,B,Larimer,9,2
1979215,23,F,W,Central Lawrenceville,7,2
1979216,21,M,O,Central Lawrenceville,7,2
1979217,35,M,O,Strip District,7,6
1979218,26,M,W,South Side Flats,3,3
1979219,50,F,B,Bedford Dwellings,6,3
